Age,Percentage
1.0101010101010033, 11.714285714285717
1.3131313131313114, 11.5
2.828282828282827, 11.42857142857143
3.636363636363633, 11.75
4.6464646464646435, 11.535714285714288
5.9595959595959584, 13.714285714285715
7.070707070707069, 13.964285714285715
7.979797979797979, 13.785714285714286
8.686868686868685, 14.321428571428573
9.797979797979796, 14.142857142857144
11.010101010101007, 14.35714285714286
11.818181818181817, 14.35714285714286
13.232323232323232, 14.35714285714286
14.141414141414135, 14.285714285714288
15.252525252525249, 14.285714285714288
16.161616161616156, 14.17857142857143
17.27272727272727, 20.250000000000004
17.979797979797976, 21.142857142857146
19.49494949494949, 21.642857142857146
20.70707070707071, 21.642857142857146
21.91919191919192, 21.71428571428572
23.030303030303035, 21.71428571428572
23.838383838383837, 22.250000000000004
24.848484848484848, 21.392857142857146
25.959595959595962, 21.92857142857143
27.171717171717173, 21.42857142857143
27.87878787878788, 21.42857142857143
28.989898989898993, 21.03571428571429
30.000000000000004, 20.96428571428572
31.51515151515152, 21.46428571428572
32.525252525252526, 21.46428571428572
33.535353535353536, 21.67857142857143
35.35353535353535, 21.28571428571429
35.757575757575765, 21.85714285714286
37.67676767676768, 22.10714285714286
38.787878787878796, 22.321428571428577
39.898989898989896, 22.250000000000004
40.80808080808082, 22.17857142857143
42.32323232323233, 22.500000000000004
43.63636363636364, 22.500000000000004
44.747474747474755, 22.46428571428572
45.95959595959596, 22.46428571428572
46.76767676767676, 22.28571428571429
48.08080808080808, 22.035714285714292
48.68686868686869, 21.892857142857146
49.79797979797979, 21.71428571428572
51.81818181818181, 21.78571428571429
52.72727272727272, 21.46428571428572
53.838383838383834, 21.214285714285715
54.848484848484844, 21.42857142857143
56.06060606060606, 20.67857142857143
57.17171717171718, 20.071428571428577
58.28282828282828, 19.714285714285715
58.98989898989899, 19.250000000000004
59.79797979797979, 19.10714285714286
61.414141414141426, 18.642857142857146
62.424242424242436, 18.214285714285715
63.13131313131315, 18.071428571428577
64.44444444444446, 16.53571428571429
65.15151515151517, 15.035714285714288
65.65656565656568, 13.25
67.07070707070709, 12.964285714285714
68.28282828282829, 12.321428571428573
69.19191919191921, 12.214285714285715
70.20202020202022, 11.17857142857143
71.31313131313132, 11.285714285714285
72.12121212121214, 10.17857142857143
73.23232323232324, 10.357142857142858
74.54545454545456, 10.5
75.25252525252526, 9.857142857142858
76.16161616161618, 8.67857142857143
77.07070707070709, 9.857142857142858
78.1818181818182, 9.964285714285715
79.19191919191921, 9.392857142857142
80.10101010101012, 9.607142857142858
81.31313131313132, 8.75
82.02020202020203, 9.964285714285715
83.23232323232325, 9.321428571428573
84.34343434343435, 8.42857142857143
85.25252525252526, 9.714285714285715
86.46464646464648, 7.964285714285715
87.17171717171719, 9.214285714285715
88.28282828282829, 11.321428571428573
89.19191919191921, 9.142857142857142
90.20202020202022, 10.392857142857146
91.21212121212123, 11.285714285714285
